,8_v,8_t,8_dwell,37_v,37_t,37_dwell,66_v,66_t,66_dwell,95_v,95_t,95_dwell,124_v,124_t,124_dwell,153_v,153_t,153_dwell
261,7.107408172499121,1.2918222912941986,0.0,3.5849452395430768,2.561129305208346,0.0,8.007303417508309,1.1466417384016159,0.0,8.262510197485074,1.0240036745601424,0.0,4.182240737735532,2.195356242341095,0.0,6.7957461998795194,1.3510669822724846,0.0
262,7.107408172499121,1.5115118307858368,0.0,3.5849452395430768,2.9966793970681733,0.0,8.007303417508309,1.3416416212562259,0.0,9.67005887167342,1.110947894063574,0.0,4.182240737735532,2.5687023327052927,0.0,6.7957461998795194,1.5808317766703568,0.0
263,7.107408172499121,1.0273666982064058,0.0,3.5849452395430768,2.0368273374006463,0.0,8.007303417508309,0.91190680385855,0.0,9.67005887167342,0.7551054821781078,0.0,4.182240737735532,1.7459335616675327,0.0,6.7957461998795194,1.0744831034324238,0.0
264,7.107408172499121,1.961401124802584,0.0,3.5849452395430768,7.777233654898257,42.24477056892647,8.007303417508309,1.7409704187666233,0.0,9.67005887167342,1.4416125660627368,0.0,4.182240737735532,6.666511689864561,11.1574574035767,6.7957461998795194,2.0513535929605498,0.0
265,7.107408172499121,8.665640856483755,0.0,0.0,11.578836830127015,0.0,8.007303417508309,9.800763721615295,0.0,9.67005887167342,6.767709992893596,0.0,0.0,34.928108041057406,0.0,6.7957461998795194,9.196747072778052,0.0
266,5.624013917068642,15.471088252159412,0.0,9.528239583914058,8.345148897109022,0.0,3.2495674299316324,26.77575324053894,0.0,6.631752455399615,13.120154322331183,0.0,3.1586575285100444,27.546391103496617,0.0,5.200444469216716,16.73118829695858,0.0
267,5.624013917068642,10.655402398283035,0.0,11.324501742842628,5.049414942571412,0.0,3.2495674299316324,18.441264159633445,0.0,6.631752455399615,9.036243705254428,0.0,3.1586575285100444,18.97202556434722,0.0,5.200444469216716,11.523271084737948,0.0
268,5.624013917068642,15.409614038031936,0.0,12.411369466582299,4.443893727648928,0.0,3.2495674299316324,9.840798139894682,0.0,6.631752455399615,13.068021520614147,0.0,3.1586575285100444,18.134339879067472,0.0,5.200444469216716,11.01447569003729,0.0
269,1.8103279220202801,7.314827213772446,9.703358178823692,13.367901008403093,0.49334029785149663,0.0,8.391799127799512,0.7705145541299607,0.0,2.1347114034515204,6.2032908323380545,21.461863316631934,3.1586575285100444,2.0961810592507226,0.0,5.200444469216716,1.273183114080962,0.0
270,2.9802322387695312e-08,30.25107220977549,0.0,13.474090666542349,9.966577348763165,0.0,8.794425450135398,9.923221194570807,0.0,7.884953356906976e-08,20.124925684452332,0.0,3.1586575285100444,15.745546295250373,0.0,5.200444469216716,17.886656361342414,0.0
271,5.683200714344119,5.600757980855763,0.0,3.775854834072174,8.429940544970533,0.0,8.530887845096423,3.7311745665445715,0.0,8.542785061800412,3.725978299512513,0.0,7.760170746485036,4.101743737028658,0.0,4.411352874047096,7.215526090631256,0.0
272,5.683200714344119,1.7330595587615498,0.0,3.775854834072174,2.6085021154619628,0.0,8.530887845096423,1.1545486825285087,0.0,8.542785061800412,1.1529407858329956,0.0,7.760170746485036,1.2692150268492208,0.0,4.411352874047096,2.2327221611084815,0.0
273,5.683200714344119,4.897515267449773,0.0,3.775854834072174,7.37145983879468,0.0,8.530887845096423,4.335944897233871,0.0,8.542785061800412,4.32990638921971,0.0,7.760170746485036,4.766578059841614,0.0,4.411352874047096,6.309529765853101,0.0
274,5.683200714344119,3.352133097302754,35.0,3.775854834072174,5.045438937061131,63.0,4.307634288447422,4.422577118829323,80.0,4.313641735684071,4.416418047788207,56.0,3.91846408002891,4.8618143408149415,56.0,4.411352874047096,4.318594716203197,22.0
275,0.0,12.54479442145594,0.0,4.214684867775986e-08,9.939551224298105,0.0,8.429369735551973e-08,7.5867049562301,0.0,0.0,9.989433101038069,0.0,7.300048299185846e-08,6.798396849840481,0.0,0.0,9.731648513618486,0.0
276,4.932280690366667,11.613977226982415,0.0,6.225074500284112,9.202041776751294,0.0,8.155641613457599,7.023775483277788,0.0,6.193989855454042,9.248222381985885,0.0,9.101329057413324,6.293959404571185,0.0,6.3580643303115,6.701879039891491,0.0
277,4.932280690366667,2.0669973473952687,0.0,6.225074500284112,1.6377331874713317,0.0,8.155641613457599,1.250056290699931,0.0,6.193989855454042,1.6459521796955665,0.0,9.101329057413324,1.1201672897754031,0.0,10.7366624691537,0.949551234649217,0.0
278,4.932280690366667,4.9676632178732785,0.0,6.225074500284112,3.9360025915581973,0.0,8.155641613457599,3.0042896104373433,0.0,6.193989855454042,3.9557554883927133,0.0,9.101329057413324,2.6921243272490547,0.0,10.7366624691537,2.2820787592191523,0.0
279,4.932280690366667,16.236395553737594,0.0,6.225074500284112,12.864498291096789,0.0,8.155641613457599,19.638542961025394,0.9562805645546177,6.193989855454042,25.858117994926815,19.552349647157826,9.101329057413324,17.59797053060628,17.075438490952365,10.7366624691537,14.917570448316614,2.3491975979559356
280,4.932280690366667,35.52959823753345,0.0,6.225074500284112,45.46988069208705,0.0,1.1920928955078125e-07,33.69004482777404,0.0,0.0,53.67189676289158,0.0,0.0,139.31375734809552,0.0,1.1920928955078125e-07,80.323372269957,0.0
281,7.919258252662639,12.832173193956196,0.0,3.8169579051210927,26.6236348400625,0.0,13.55326220840322,7.497921305088248,0.0,8.507432062575138,11.945002054482922,0.0,3.2775658633550493,31.005111019129977,0.0,5.684646858076927,17.876447913637264,0.0
282,7.919258252662639,8.489342026883001,0.0,3.8169579051210927,13.272875945603552,0.0,13.55326220840322,4.960377130783011,0.0,8.507432062575138,7.90241889815564,0.0,3.2775658633550493,20.51195756513352,0.0,5.684646858076927,11.826467603796262,0.0
283,7.919258252662639,2.468044822943839,0.0,6.313369867336948,2.964883496087814,0.0,13.55326220840322,1.4420944589946076,0.0,8.507432062575138,2.2974129194659882,0.0,3.2775658633550493,5.9632926222975,0.0,5.684646858076927,3.4382231332926207,0.0
284,7.919258252662639,50.08027678336204,2.3361990537341626,6.871016202354616,22.147033540214817,0.0,13.55326220840322,29.262227728935407,3.147334548426443,8.507432062575138,23.308951649284257,0.0,3.2775658633550493,60.50200998955588,0.0,5.684646858076927,34.88331422459155,0.0
