,23_v,23_t,23_dwell,52_v,52_t,52_dwell,81_v,81_t,81_dwell,110_v,110_t,110_dwell,139_v,139_t,139_dwell
247,5.115543938323205,15.130199464415671,0.0,5.752053021946296,20.688387362295355,0.0,7.462976103082359,15.945475290660102,0.0,6.150500161076221,19.348133961460412,0.0,7.947820176160853,12.616849987302954,0.0
248,10.614678432685356,4.361707102565969,0.0,5.752053021946296,8.048972798868922,0.0,7.462976103082359,6.20370716344321,0.0,6.150500161076221,7.5275371268661555,0.0,10.915953454538354,4.063407429527812,0.0
249,10.614678432685356,17.27816074622235,25.5773628050556,5.752053021946296,15.942318293107471,0.0,7.462976103082359,24.5749306571742,12.386787270617788,6.150500161076221,14.909528934741562,0.0,11.871876274206121,7.209274954546985,0.0
250,0.0,30.78717613801201,0.0,5.752053021946296,28.46030547083533,0.0,0.0,34.620164872812126,0.0,6.150500161076221,16.074857420906156,0.0,13.567869246072986,15.177564260858839,0.0
251,8.561408529642735,6.598343130130789,0.0,3.5093230606714494,16.09743821790025,0.0,7.6135279355236385,7.419833700515078,0.0,10.246633915446802,5.5131384239902355,0.0,3.7986586013060144,14.871331458001807,0.0
252,8.561408529642735,9.514730241810092,0.0,3.5093230606714494,23.212309394478126,0.0,7.6135279355236385,10.699309615638791,0.0,10.246633915446802,7.949878303613679,0.0,3.7986586013060144,21.44427841487942,0.0
253,8.561408529642735,0.6412245939688224,0.0,3.5093230606714494,1.564343211870325,0.0,7.6135279355236385,0.7210567498684566,0.0,10.246633915446802,0.5357647939335007,0.0,3.7986586013060144,1.4451906013175113,0.0
254,8.561408529642735,11.626314552885129,49.0,3.5093230606714494,28.36376864285954,44.0,7.6135279355236385,13.073785020859267,45.0,10.246633915446802,9.714178275787448,79.0,3.7986586013060144,26.203362562552538,43.0
255,0.0,5.246594560642182,0.0,4.214684867775986e-08,4.046781121802426,0.0,8.42936964673413e-08,3.448740763438289,0.0,0.0,3.873023638591484,0.0,4.440892098500626e-16,4.092382741698021,0.0
256,2.5255198482225665,14.334712928885349,0.0,3.274300766239029,11.056590278374491,0.0,3.842091742077204,22.29485120868831,0.0,3.4211974764236666,25.03768470251663,0.0,3.2378151152549606,11.181182597457186,0.0
257,9.42572942264819,10.681055604618894,0.0,12.220324893767728,8.238466730842978,0.0,3.842091742077204,26.20362730406,0.0,3.4211974764236666,29.427339629234044,0.0,12.084153374772525,8.331302736323705,0.0
258,9.42572942264819,10.224578918028477,0.0,12.220324893767728,7.8863790594470595,0.0,3.842091742077204,19.29234666994263,0.0,3.4211974764236666,28.169702277049986,0.0,12.084153374772525,7.975247528970029,0.0
259,9.42572942264819,16.514912059510166,0.0,12.220324893767728,12.738212270539583,0.0,6.1488249660493155,21.020227024078764,0.0,3.4211974764236666,45.50017752102875,0.0,12.084153374772525,12.881754119138089,0.0
260,9.42572942264819,3.0999208668037794,0.0,12.220324893767728,2.4599299214537984,0.0,8.662156126919601,2.9236013992324192,0.0,3.4211974764236666,7.543034494668973,0.0,12.084153374772525,2.320543700490644,0.0
261,6.596077821180467,1.3919648250780885,0.0,7.969817177312096,1.1520349973269384,0.0,8.325910239477716,1.1027633071308347,0.0,3.163199643084935,2.902601589069032,0.0,9.318733624748837,0.9852742529496212,0.0
262,6.596077821180467,1.628684777559789,0.0,7.969817177312096,1.3479520671488643,0.0,8.325910239477716,1.2903011478574706,0.0,3.163199643084935,3.3962230497975265,0.0,9.318733624748837,1.152831701340311,0.0
263,6.596077821180467,1.1070085382465757,0.0,7.969817177312096,0.916195980978361,0.0,8.325910239477716,0.9690208478767331,0.0,3.163199643084935,2.3083950717269297,0.0,9.318733624748837,0.7835736872650925,0.0
264,6.596077821180467,2.113449653248026,0.0,7.969817177312096,1.7491591179350523,0.0,6.744796408341501,4.133698792369841,25.78667157563177,3.163199643084935,8.814162845804631,36.58790015121485,9.318733624748837,1.4959627504479274,0.0
265,6.596077821180467,6.7250016547646725,0.0,7.969817177312096,8.116427848740845,0.0,8.881784197001252e-16,10.814750974677048,0.0,0.0,25.31207250526735,0.0,9.318733624748837,5.728777193176727,0.0
266,9.809261104250448,8.870149822461102,0.0,5.623099987301622,15.47360278828962,0.0,10.201430590387933,8.529158226526047,0.0,4.358628926870361,19.96261143175991,0.0,9.939465411496132,8.753953260072226,0.0
267,9.809261104250448,6.1091381647434995,0.0,5.623099987301622,10.657134234717272,0.0,10.201430590387933,5.874287027583604,0.0,4.358628926870361,13.748849095749774,0.0,9.939465411496132,6.0291101079338665,0.0
268,9.809261104250448,8.834904371033167,0.0,5.623099987301622,10.186582012222702,0.0,10.201430590387933,8.495267701787334,0.0,4.358628926870361,13.141786131517613,0.0,9.939465411496132,8.719169514520487,0.0
269,3.1575276187559504,4.193862243050881,30.75627235451975,5.623099987301622,1.1774853904206948,0.0,3.2837640366219087,4.032639233341344,22.253896836089552,4.358628926870361,3.0381655309559163,4.796515304748027,3.1994394092404654,4.138923724012766,13.10875268925156
270,7.300048299185846e-08,28.049416970750073,0.0,5.623099987301622,9.454401809586328,0.0,1.1920928955078125e-07,29.546982190256372,0.0,0.0,24.929000818043377,0.0,1.1920928955078125e-07,24.552969715900804,0.0
271,6.129286545438146,5.19313814449715,0.0,12.56133087954623,2.5339856152899816,0.0,5.818628496965203,5.470401104705268,0.0,6.896502485145237,4.615416557338872,0.0,7.002122967452785,4.5457973111327865,0.0
272,6.129286545438146,1.6069285143284935,0.0,12.56133087954623,0.8299157133504781,0.0,5.818628496965203,1.692722834511881,0.0,6.896502485145237,1.4281623683264897,0.0,7.002122967452785,1.4066198734492528,0.0
273,6.129286545438146,4.541077017715464,0.0,11.174393517312156,3.3101984070557045,0.0,5.818628496965203,4.783526269291605,0.0,6.896502485145237,5.363509938623812,0.0,7.002122967452785,5.282606402765905,0.0
274,6.129286545438146,3.1081668432268974,86.0,5.642460848368401,3.3763361627826716,60.0,5.818628496965203,3.274112657837469,70.0,3.482358590899831,5.470672960670966,58.0,3.535691188797233,5.388152892349006,88.0
275,0.0,7.396427220027736,0.0,1.7881393432617188e-07,10.51828513712825,0.0,0.0,8.618409669086702,0.0,4.214684867775986e-08,7.18496094165299,0.0,9.424321811835057e-08,9.531026959148985,0.0
